Electricity_Usage,Year_Built,Floors,Area_SQFT,PLEI_1_Quantity,PLEI_3_Quantity
117870,1955,4,14000,1,2,
16207,1940,1,1000,1,1,
15564,1920,2,6000,2,1,
25851,1965,1,5000,6,1,
32343,1930,3,4196,1,1,
106938,1910,1,2000,2,1,
228985,1964,2,26318,18,7,
228985,1964,2,26318,18,7,
380400,1931,4,65000,2,27,
4510,1910,3,3024,2,1,
10722,1897,2,3000,4,1,
10000,1931,2,2000,2,1,
6365,1931,1,3128,4,1,
15130,1931,1,5000,1,2,
51172,1960,2,15000,2,1,
2213,1960,2,3000,1,1,
21583,1931,2,2000,1,1,
14232,1870,2,6022,2,7,
18774,1965,2,10000,1,1,
12663,1934,2,2178,1,1,
12651,1934,2,1304,7,5,
7769,1900,2,1100,2,2,
3144,2006,1,3371,4,1,
41130,1931,2,4000,1,1,
11861,1931,1,2000,2,1,
15145,1921,1,5000,1,1,
38471,1900,4,10209,6,2,
34740,1990,2,5000,3,1,
9525,1950,2,17872,4,2,
7911,1940,2,2000,1,1,
69695,1950,3,17651,6,9,
4670,1930,2,2000,4,1,
6499,1920,2,9000,2,7,
11243,1930,2,7200,2,6,
132940,1900,2,10418,4,2,
79360,1900,2,22637,1,1,
44874,1890,3,8000,15,4,
49960,1900,2,3420,4,1,
25632,1899,2,2000,2,1,
6732,1920,2,2141,1,2,
13607,1886,2,3854,1,1,
5712,1900,3,3000,3,1,
8532,1900,2,1520,1,3,
636,1900,3,2000,1,1,
29196,1920,4,9729,2,1,
15840,1930,2,2000,2,4,
14638,1929,2,2480,3,1,
6134,1910,2,2880,1,1,
14688,1900,1,1250,9,7,
57400,1950,2,12000,3,1,
9801,1910,2,1980,1,1,
156080,1910,3,7847,3,2,
12021,1950,1,7000,3,2,
58081,1920,3,6656,1,2,
180840,1910,4,4555,22,9,
31880,1847,2,9280,1,2,
5945,1900,2,4032,5,1,
46231,1847,2,12000,3,4,
170240,1931,4,6304,8,14,
84231,1961,3,9014,6,2,
7990,1931,3,1782,1,2,
7992,1931,1,1000,2,2,
3545,1890,2,3000,1,1,
4283,1931,1,1650,2,1,
4752,1910,1,1920,1,1,
37760,1965,1,10989,6,3,
34110,1946,4,25505,9,9,
4533,1926,4,4095,1,1,
10000,1900,4,9744,1,1,
21930,1935,2,2170,1,13,
205336,1910,4,22911,1,7,
5400,1914,2,7038,1,2,
61983,1942,2,10000,8,1,
30616,1931,1,2000,2,1,
97200,1910,3,7000,2,1,
29849,1971,1,3000,13,1,
14650,1950,1000,0,1,1,
17291,1950,1,1000,1,1,
15392,1940,1,2000,8,1,
16088,1965,1,7826,1,1,
33778,1900,1000,0,1,1,
10000,2006,3,5000,2,1,
22770,1931,1,1000,1,1,
28020,1931,3,9000,2,3,
92932,2004,1,1000,1,2,
6042,1950,1,1000,1,1,
54860,1929,2000,1,1,1,
55500,1929,2,1000,1,1,
4007,1929,1000,1,1,1,
97587,2013,2,6000,1,1,
9740,1926,2,4,92,1,1
74760,1930,2,8172,21,1,
23643,1931,2,3075,1,4,
10000,1928,3,18000,3,1,
4757,1917,4,5248,1,2,
4757,1917,4,5248,1,2,
12636,1925,3,5416,1,1,
34372,1965,1,8000,1,1,
10000,1908,2000,2,1,1,
186302,1930,4,15914,40,3,
16417,1930,3,5141,7,3,
50604,1922,1000,3,2,1,
6962,1910,4,6095,3,1,